이름,지역,클래스,카테고리,세부분류
소태리오층석탑,경상남도,장소,관광지,보물
강당사당부장원,대구광역시,장소,관광지,보물
함양석조여래좌상,경상남도,장소,관광지,보물
석조관음상,경상남도,장소,관광지,보물
창덕궁돈화문,서울특별시,장소,관광지,보물
선각왕사비,경기도,장소,관광지,보물
대웅전,충청남도,장소,관광지,보물
화서문,경기도,장소,관광지,비/탑/문/각
향산리삼층석탑,충청북도,장소,관광지,보물
비로자나불좌상,충청북도,장소,관광지,보물
울산왜성,울산광역시,장소,관광지,성/성터
향성사지삼층석탑,강원도,장소,관광지,비/탑/문/각
선림원지삼층석탑,강원도,장소,관광지,보물
안동의성김씨종택,경상북도,장소,관광지,보물
예천권씨초간종택,경상북도,장소,관광지,보물
장락리칠층모전석탑,충청북도,장소,관광지,보물
신월동삼층석탑,경상북도,장소,관광지,보물
삼층석탑,경상남도,장소,관광지,보물
벽송사삼층석탑,경상남도,장소,관광지,보물
마애보살입상,경상북도,장소,관광지,보물
석조여래좌상,경상남도,장소,관광지,보물
계성리석등,강원도,장소,관광지,보물
석조보살입상,충청남도,장소,관광지,보물
논곡리삼층석탑,전라남도,장소,관광지,보물
사사자삼층석탑,강원도,장소,관광지,보물
청풍문화재단지석조여래입상,충청북도,장소,관광지,보물
예안이씨충효당,경상북도,장소,관광지,보물
태고정,대구광역시,장소,관광지,보물
약사사석조여래좌상,광주광역시,장소,관광지,보물
도학동석조부도,대구광역시,장소,관광지,보물
보광명전,전라북도,장소,관광지,보물
회천동삼층석탑,경상북도,장소,관광지,보물
현일동삼층석탑,경상북도,장소,관광지,보물
태고사원증국사탑비,경기도,장소,관광지,보물
삼층석탑,강원도,장소,관광지,보물
대웅전,경기도,장소,관광지,보물
대웅전,경기도,장소,관광지,보물
보광전,전라북도,장소,관광지,보물
대웅전,경상북도,장소,관광지,보물
우천리삼층석탑,전라남도,장소,관광지,보물
금둔사지삼층석탑,전라남도,장소,관광지,보물
미황사대웅전,전라남도,장소,관광지,보물
목아미타불좌상,경기도,장소,관광지,보물
명마애약사불좌상,경기도,장소,관광지,보물
석비로자나불좌상,경상북도,장소,관광지,보물
대원사다층석탑,경상남도,장소,관광지,보물
삼층석탑,경상남도,장소,관광지,보물
대포리삼층석탑,경상남도,장소,관광지,보물
해련부도,전라남도,장소,관광지,보물
